Code,Sales,OP,CFO,BPS,DivAnn
--,,,,,
ABDN,1745000000.0,,427000000.0,2.753,0.146
AJB,317847000.0,133098000.0,86485000.0,0.539,0.143
ALFA,126700000.0,40100000.0,37200000.0,0.175,0.015
AML,1257700000.0,-189100000.0,74100000.0,0.312,
AMS,,,19489000.0,1.197,0.029
AO.,,,,,
ASHM,144400000.0,43700000.0,48600000.0,1.187,0.169
ATYM,482915000.0,132236000.0,192483000.0,3.6313,0.109
AVON,275000000.0,10700000.0,53900000.0,4.1887,0.246
BAB,4831300000.0,362400000.0,308800000.0,1.439,0.07
BAG,437300000.0,61600000.0,51000000.0,3.046,0.187
BBOX,492200000.0,,312800000.0,1.872,0.08
BBY,9489000000.0,188000000.0,656000000.0,2.346,0.14
BCG,82811000.0,53537000.0,57367000.0,0.6382,0.039
BEZ,1058100000.0,1187400000.0,1314800000.0,6.0912,0.336
BGEO,4344275000.0,,2141804000.0,184.017,1.49
BKG,2486500000.0,500000000.0,193100000.0,37.643,0.67
BLND,454000000.0,249000000.0,,5.82,0.229
BME,5571000000.0,566000000.0,675000000.0,0.707,0.132
BOWL,250662000.0,59352000.0,73546000.0,0.907,0.133
BOY,727100000.0,105900000.0,143500000.0,3.71,0.23
BPT,476000000.0,33500000.0,135900000.0,1.172,0.094
BRBY,2461000000.0,26000000.0,429000000.0,2.483,
BREE,1713800000.0,131300000.0,225900000.0,3.453,0.15
BWY,,,-65500000.0,30.155,0.72
BYG,204495000.0,126606000.0,114574000.0,13.266,0.476
BYIT,217134000.0,66426000.0,74967000.0,0.324,0.101
CAN,6949000000.0,250000000.0,709000000.0,3.1478,0.022
CBG,,,-382000000.0,9.794,
CCC,9193900000.0,264600000.0,293600000.0,8.556,0.746
CCL,26621000000.0,4482000000.0,6218000000.0,6.9291,0.15
CCR,1665500000.0,74400000.0,60900000.0,1.2408,0.062
CER,45358000.0,20637000.0,13228000.0,2.02,0.154
CGEO,1900030000.0,,,126.62,
CHG,497500000.0,73400000.0,91100000.0,1.401,0.08
CHRT,270043000.0,27836000.0,51184000.0,3.629,0.169
CKN,631400000.0,77000000.0,64400000.0,17.116,1.12
CMCX,360099000.0,94411000.0,175351000.0,1.57,0.138
COA,1464900000.0,288500000.0,224700000.0,0.2788,0.033
